Temperature [K],Wood_MapleOak,,,,,,,
0.1,0,,,,,,,
0.15,0,,,,,,,
0.2,0,,,,,,,
0.25,0,,,,,,,
0.3,0,,,,,,,
0.35,0.001,,,,,,,
0.4,0.001,,,,,,,
0.45,0.001,,,,,,,
0.5,0.001,,,,,,,
0.55,0.002,,,,,,,
0.6,0.002,,,,,,,
0.65,0.003,,,,,,,
0.7,0.004,,,,,,,
0.75,0.004,,,,,,,
0.8,0.005,,,,,,,
0.85,0.006,,,,,,,
0.9,0.007,,,,,,,
0.95,0.008,,,,,,,
1,0.009,,,,,,,
1.5,0.028,,,,,,,
2,0.06,,,,,,,
2.5,0.11,,,,,,,
3,0.181,,,,,,,
3.5,0.274,,,,,,,
4,0.393,,,,,,,
4.5,0.54,,,,,,,
5,0.717,,,,,,,
5.5,0.928,,,,,,,
6,1.174,,,,,,,
6.5,1.457,,,,,,,
7,1.779,,,,,,,
7.5,2.144,,,,,,,
8,2.552,,,,,,,
8.5,3.005,,,,,,,
9,3.507,,,,,,,
9.5,4.058,,,,,,,
10,4.661,,,,,,,
15,13.929,,,,,,,
20,30.288,,,,,,,
25,55.325,,,,,,,
30,90.513,,,,,,,
35,137.236,,,,,,,
40,196.809,,,,,,,
45,270.493,,,,,,,
50,359.503,,,,,,,
55,465.01,,,,,,,
60,588.154,,,,,,,
65,730.044,,,,,,,
70,891.759,,,,,,,
75,1074.356,,,,,,,
80,1278.869,,,,,,,
85,1506.309,,,,,,,
90,1757.672,,,,,,,
95,2033.933,,,,,,,
100,2336.054,,,,,,,
150,6981.188,,,,,,,
200,15179.726,,,,,,,
250,27728.155,,,,,,,
300,45363.895,,,,,,,
350,68780.712,,,,,,,
400,98638.152,,,,,,,
450,135567.858,,,,,,,
500,180178.082,,,,,,,
550,233057.031,,,,,,,
600,294775.459,,,,,,,
650,365888.712,,,,,,,
700,446938.386,,,,,,,
750,538453.693,,,,,,,
800,640952.6,,,,,,,
850,754942.801,,,,,,,
900,880922.543,,,,,,,
950,0,,,,,,,
