Material Name,Fit Type,Low Temp,High Temp,Perc Err,a,b,c,d,e,f,g,h,i,A,B,C,D,E,erf param,F
Constantan,ExcelNIST5a-3,0.100,300.000,??,6.00000e+00,-2.31000e+00,5.71000e+00,-4.21155e-01,4.51269e+00,-6.81198e-01,-4.50256e-01,1.00420e-01,6.45863e-02,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
FeRRR,ExcelNIST5a-5,0.300,1811.000,??,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Graphite,ExcelNIST5a-4,0.150,1.000,??,3.00000e+02,1.00000e-02,1.76000e+00,5.10000e-03,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Graphite_a,ExcelNIST5a-1,0.060,4.220,??,-2.69698e+00,1.57311e+00,6.10351e-01,2.46304e-01,-5.84836e-02,-9.37299e-02,-2.66527e-02,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Graphite_brad,ExcelNIST5a-4,0.100,5.000,??,5.00000e+00,1.00000e-02,1.27150e+00,7.50000e-03,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Graphite_p,ExcelNIST5a-1,0.060,4.220,??,-2.69559e+00,1.57652e+00,5.81122e-01,2.08721e-01,3.57325e-03,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Kapton,ExcelNIST5a-3,0.100,40.000,??,4.00000e+00,-2.31000e+00,5.71000e+00,-7.05008e+00,5.83258e+00,9.40642e-01,2.06473e-01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Kaptona,ExcelNIST5a-1,4.000,300.000,??,5.73101e+00,-3.95199e+01,7.99313e+01,-8.38572e+01,5.09157e+01,-1.79835e+01,3.42413e+00,-2.71330e-01,0.00000e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Manganin,ExcelNIST5a-3,0.100,300.000,??,5.00000e+00,-2.31000e+00,5.71000e+00,-7.43946e-01,4.43023e+00,-3.91106e-01,-3.69351e-01,9.05807e-02,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
NbTi,ExcelNIST5a-4,0.010,2.000,??,4.00000e+00,1.00000e-02,2.00000e+00,2.70000e-02,1.00000e-02,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Nichrome,ExcelNIST5a-1,4.000,300.000,??,-1.50540e+00,1.40318e+00,1.71974e-01,-1.29564e-01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
