| Material Name                   | Fit Type                   | Low Temp                   | High Temp                   | Perc Err                   | a                   | b                   | c                   | d                   | erf param                   | A                   | B                   | C                   | D                   |
| ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ |
| Aluminum_110                    | loglog                     | 0.264                      | 1.061                       | 6.458                      | -1.85104e+01        | 2.92536e+01         | 2.07719e+00         | -2.22005e+00        | 0.00000e+00                 | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| CFRP                            | loglog                     | 0.134                      | 4.842                       | 14.228                     | 2.49809e-04         | -2.17074e-03        | 5.20942e-03         | 3.99669e-03         | 0.00000e+00                 | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Clearwater                      | loglog                     | 0.134                      | 4.842                       | 4.852                      | 2.64819e-04         | -2.54810e-03        | 6.89859e-03         | 3.33889e-03         | 0.00000e+00                 | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| DPP                             | loglog                     | 0.698                      | 4.020                       | 7.990                      | 9.26410e-05         | -1.26809e-03        | 4.36685e-03         | 1.05799e-03         | 0.00000e+00                 | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| G10_FR4                         | loglog                     | 0.304                      | 2.971                       | 4.296                      | 1.09025e-03         | -7.63211e-03        | 1.94298e-02         | -2.55459e-03        | 0.00000e+00                 | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Graphlite                       | loglog                     | 0.309                      | 4.015                       | 5.398                      | 5.71214e-04         | -4.47993e-03        | 9.72794e-03         | 2.98036e-03         | 0.00000e+00                 | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Ketron                          | loglog                     | 0.298                      | 2.851                       | 15.979                     | 1.14031e-03         | -5.86097e-03        | 8.60986e-03         | -1.14537e-04        | 0.00000e+00                 | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Macor                           | loglog                     | 0.337                      | 3.213                       | 4.722                      | -2.26171e-04        | 9.70551e-04         | 4.61593e-03         | -1.19627e-03        | 0.00000e+00                 | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| SS321_lo                        | 3 order k/T                | 0.393                      | 112.580                     | 4.731                      | 2.72011e-07         | -5.97515e-05        | 3.56046e-03         | 6.04956e-02         | 0.00000e+00                 | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| SS321_hi                        | 3 order loglog             | 120.000                    | 1623.194                    | 4.704                      | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00000e+00                 | 1.03982e-01         | -7.41366e-01        | 2.17727e+00         | -1.24785e+00        | 
| Stainless_Steel_304             | loglog                     | 0.385                      | 1672.000                    | 3.953                      | 2.23367e-07         | -5.04296e-05        | 3.01386e-03         | 6.96502e-02         | 1.19786e+02                 | 3.42081e-02         | -1.71132e-01        | 6.23536e-01         | 1.49213e-01         | 
| Stainless_Steel_310_lo          | 3 order k/T                | 0.374                      | 1.670                       | 2.293                      | 4.50594e-02         | -1.66211e-01        | 2.00471e-01         | -4.44485e-03        | 0.00000e+00                 | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Stainless_Steel_310_hi          | 3 order loglog             | 148.150                    | 1273.150                    | 2.268                      | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00000e+00                 | 4.81506e-02         | -2.21432e-01        | 6.46708e-01         | 1.25346e-01         | 
| Stainless_Steel_316             | loglog                     | 0.045                      | 1670.150                    | 3.392                      | 1.94109e-06         | -2.05278e-04        | 6.69184e-03         | 4.80988e-02         | 1.19339e+02                 | 1.09896e-01         | -7.26205e-01        | 1.97904e+00         | -9.78724e-01        | 
| Stainless_Steel_General         | loglog                     | 0.045                      | 1672.000                    | 6.148                      | 3.13158e-07         | -6.66839e-05        | 3.84607e-03         | 5.89480e-02         | 1.19471e+02                 | 1.61695e-01         | -1.09799e+00        | 2.82413e+00         | -1.56968e+00        | 
| Ti6Al4V_lo                      | 3 order k/T                | 0.000                      | 0.000                       | 11.286                     | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00000e+00                 | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Ti6Al4V_hi                      | 3 order loglog             | 0.061                      | 1173.150                    | 11.491                     | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00000e+00                 | 4.84062e-02         | -4.37855e-01        | 1.72407e+00         | -1.41506e+00        | 
| Torlon                          | loglog                     | 0.303                      | 2.977                       | 3.265                      | 1.34033e-03         | -8.17215e-03        | 1.52769e-02         | -7.52786e-04        | 0.00000e+00                 | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| VESPEL                          | loglog                     | 0.322                      | 3.032                       | 26.714                     | 3.40509e-04         | -1.80723e-03        | 3.15702e-03         | 2.53032e-04         | 0.00000e+00                 | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
