Material Name,Fit Type,Low Temp,High Temp,Perc Err,erf param,a,b,c,d,e,f,g,h,i,j,A,B,C,D
Aluminum,Nppoly,0.264,1.061,6.458,0.000,-2.22005e+00,2.07719e+00,2.92536e+01,-1.85104e+01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Aluminum_1100,Nppoly,0.264,1.061,6.458,0.000,-2.22005e+00,2.07719e+00,2.92536e+01,-1.85104e+01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Aluminum_3003F,polylog,4.000,300.000,2.0,0.00e+00,6.37360e-01,-1.14370e+00,7.46240e+00,-1.26905e+01,1.19165e+01,-6.18721e+00,1.63939e+00,-1.72667e-01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Aluminum_5083O,polylog,4.000,300.000,1.0,0.00e+00,-9.09330e-01,5.75100e+00,-1.11120e+01,1.36120e+01,-9.39770e+00,3.68730e+00,-7.72950e-01,6.73360e-02,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Aluminum_6061T6,Chebyshev,0.095,20.000,0.00e+00,0.000,2.39703410e-01,1.88576787e+00,-4.39839595e-01,9.53687043e-02,2.05443158e-03,-2.89908152e-03,-1.33420775e-04,1.14453429e-04,0.00e+00,-8.72830666e-06,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Aluminum_6063T5,polylog,4.000,296.000,2.0,0.00e+00,2.24014e+01,-1.41134e+02,3.94955e+02,-6.01154e+02,5.47832e+02,-3.05997e+02,1.02387e+02,-1.88102e+01,1.45769e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Beryllium_Copper,polylog,2.000,80.000,2.0,0.00e+00,-5.00150e-01,1.93190e+00,-1.69540e+00,7.12180e-01,1.27880e+00,-1.61450e+00,6.87220e-01,-1.05010e-01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Brass,polylog,0.001,972.000,12.931,-1.000,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,-1.53358e+01,2.26108e+01,-9.56794e+00,1.32447e+00
CFRP,Nppoly,0.134,4.842,14.228,0.000,3.99669e-03,5.20942e-03,-2.17074e-03,2.49809e-04,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
CFRP_Clearwater,Nppoly,0.134,4.842,4.852,0.000,3.33889e-03,6.89859e-03,-2.54810e-03,2.64819e-04,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
CFRP_DPP,Nppoly,0.698,4.020,7.990,0.000,1.05799e-03,4.36685e-03,-1.26809e-03,9.26410e-05,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
CFRP_Graphlite,Nppoly,0.309,4.015,5.398,0.000,2.98036e-03,9.72794e-03,-4.47993e-03,5.71214e-04,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Constantan,comppoly,0.088,1070.000,12.812,76.510,1.34066e-02,4.98846e-02,-1.78900e-03,1.72076e-05,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,1.73139e+01,-1.92446e+01,7.46542e+00,-9.25392e-01
Copper-Nickel,Nppoly,0.112,2.755,1.801,0.000,5.18033e-02,2.29552e-02,-1.65005e-02,4.05674e-03,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Corian,polylog,0.077,298.000,6.785,0.000,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,-1.85405e+00,1.72990e+00,-5.45311e-01,6.53288e-02
Cu_OFHC,comppoly,0.428,1357.600,73.615,97.369,1.73611e+03,-6.15285e+01,4.63177e-01,2.75382e-04,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,4.82355e+00,-2.57215e+00,1.01811e+00,-1.37838e-01
G10_CR_Normal,polylog,4.000,300.000,5.0,0.00e+00,-4.12360e+00,1.37880e+01,-2.60680e+01,2.62720e+01,-1.46630e+01,4.49540e+00,-6.90500e-01,3.97000e-02,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
G10_CR_Warp,polylog,4.000,300.000,5.0,0.00e+00,-2.64827e+00,8.80228e+00,-2.48998e+01,4.11625e+01,-3.98754e+01,2.31778e+01,-7.95635e+00,1.48806e+00,-1.17010e-01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
G10_FR4,Nppoly,0.304,2.971,4.296,0.000,-2.55459e-03,1.94298e-02,-7.63211e-03,1.09025e-03,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
G10_parent,Nppoly,0.304,2.971,4.296,0.000,-2.55459e-03,1.94298e-02,-7.63211e-03,1.09025e-03,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Glass_FabricPolyester_He_warp,polylog,38.000,300.000,1.0,0.00e+00,6.89532e+02,-2.54363e+03,3.96707e+03,-3.40037e+03,1.73172e+03,-5.24309e+02,8.74249e+01,-6.19597e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Glass_FabricPolyester_Ni_normal,polylog,84.000,300.000,2.0,0.00e+00,2.90991e+03,-8.61664e+03,1.05427e+04,-6.83207e+03,2.47533e+03,-4.75700e+02,3.79003e+01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Glass_FabricPolyester_Ni_warp,polylog,80.000,300.000,1.0,0.00e+00,-2.14158e+03,4.63974e+03,-3.24941e+03,5.17242e+01,1.10198e+03,-6.13856e+02,1.41143e+02,-1.23133e+01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Graphite,lowTextrapolate,0.150,1.000,??,0.00e+00,3.00000e+02,1.00000e-02,1.76000e+00,5.10000e-03,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Graphite_a,polylog,0.060,4.220,??,0.00e+00,-2.69698e+00,1.57311e+00,6.10351e-01,2.46304e-01,-5.84836e-02,-9.37299e-02,-2.66527e-02,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Graphite_brad,lowTextrapolate,0.100,5.000,??,0.00e+00,5.00000e+00,1.00000e-02,1.27150e+00,7.50000e-03,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
