| Material Name                   | Fit Type                   | Low Temp                   | High Temp                   | Perc Err                   | erf param                   | a                   | b                   | c                   | d                   | e                   | f                   | g                   | h                   | i                   | A                   | B                   | C                   | D                   |
| -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| Aluminum_1100                   | Nppoly                     | 0.264                      | 1.061                       | 6.458                      | 0.00e+00                    | -2.22005e+00        | 2.07719e+00         | 2.92536e+01         | -1.85104e+01        | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Beryllium_Copper                | polylog                    | 2.000                      | 80.000                      | 2.0                        | 0.00e+00                    | -5.00150e-01        | 1.93190e+00         | -1.69540e+00        | 7.12180e-01         | 1.27880e+00         | -1.61450e+00        | 6.87220e-01         | -1.05010e-01        | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Brass                           | polylog                    | 5.000                      | 116.000                     | 1.5                        | 0.00e+00                    | 2.10350e-02         | -1.01835e+00        | 4.54083e+00         | -5.03374e+00        | 3.20536e+00         | -1.12933e+00        | 1.74057e-01         | -3.81510e-03        | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| CFRP                            | Nppoly                     | 0.134                      | 4.842                       | 14.228                     | 0.00e+00                    | 3.99669e-03         | 5.20942e-03         | -2.17074e-03        | 2.49809e-04         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Constantan                      | TchebyLnT                  | 0.100                      | 300.000                     | ??                         | 0.00e+00                    | 6.00000e+00         | -2.31000e+00        | 5.71000e+00         | -4.21155e-01        | 4.51269e+00         | -6.81198e-01        | -4.50256e-01        | 1.00420e-01         | 6.45863e-02         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Cu_OFHC_RRR50                   | NIST-copperfit             | 4.000                      | 300.000                     | 2.0                        | 0.00e+00                    | 1.87430e+00         | -4.15380e-01        | -6.01800e-01        | 1.32940e-01         | 2.64260e-01         | -2.19000e-02        | -5.12760e-02        | 1.48710e-03         | 3.72300e-03         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| G10_FR4                         | Nppoly                     | 0.304                      | 2.971                       | 4.296                      | 0.00e+00                    | -2.55459e-03        | 1.94298e-02         | -7.63211e-03        | 1.09025e-03         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Glass_FabricPolyester_He_warp   | polylog                    | 38.000                     | 300.000                     | 1.0                        | 0.00e+00                    | 6.89532e+02         | -2.54363e+03        | 3.96707e+03         | -3.40037e+03        | 1.73172e+03         | -5.24309e+02        | 8.74249e+01         | -6.19597e+00        | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Graphite                        | lowTextrapolate            | 0.150                      | 1.000                       | ??                         | 0.00e+00                    | 3.00000e+02         | 1.00000e-02         | 1.76000e+00         | 5.10000e-03         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Inconel_718                     | polylog                    | 6.000                      | 275.000                     | 2.0                        | 0.00e+00                    | -8.28921e+00        | 3.94470e+01         | -8.34353e+01        | 9.81690e+01         | -6.72088e+01        | 2.67082e+01         | -5.72050e+00        | 5.11150e-01         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Invar_Fe36Ni                    | polylog                    | 4.000                      | 300.000                     | 2.0                        | 0.00e+00                    | -2.70640e+00        | 8.51910e+00         | -1.59230e+01        | 1.82760e+01         | -1.19116e+01        | 4.40318e+00         | -8.60180e-01        | 6.85080e-02         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Kapton                          | polylog                    | 4.000                      | 300.000                     | 2.0                        | 0.00e+00                    | 5.73101e+00         | -3.95199e+01        | 7.99313e+01         | -8.38572e+01        | 5.09157e+01         | -1.79835e+01        | 3.42413e+00         | -2.71330e-01        | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Ketron                          | Nppoly                     | 0.298                      | 2.851                       | 15.979                     | 0.00e+00                    | -1.14537e-04        | 8.60986e-03         | -5.86097e-03        | 1.14031e-03         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Kevlar49_Composite_Aramid       | NIST-experf                | 6.000                      | 302.000                     | 7                          | 0.00e+00                    | -2.65000e+00        | 1.98664e+00         | 1.24851e+00         | 5.70000e-01         | -8.00000e+00        | 7.77857e-01         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Lead                            | polylog                    | 4.000                      | 296.000                     | 2.0                        | 0.00e+00                    | 3.89635e+01         | -2.21405e+02        | 5.97566e+02         | -9.00938e+02        | 8.16405e+02         | -4.55083e+02        | 1.52940e+02         | -2.84512e+01        | 2.25162e+00         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Macor                           | Nppoly                     | 0.337                      | 3.213                       | 4.722                      | 0.00e+00                    | -1.19627e-03        | 4.61593e-03         | 9.70551e-04         | -2.26171e-04        | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Manganin                        | Nppoly                     | 0.010                      | 1.020                       | 6.758                      | 0.00e+00                    | 4.57977e-02         | 1.46864e-01         | -3.16925e-01        | 2.15594e-01         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Molybdenum                      | polylog                    | 2.000                      | 373.000                     | 3.0                        | 0.00e+00                    | 1.07826e+01         | -7.21307e+01        | 2.28574e+02         | -3.84504e+02        | 3.81438e+02         | -2.28838e+02        | 8.12666e+01         | -1.56910e+01        | 1.26814e+00         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| MylarPET                        | polylog                    | 1.000                      | 83.000                      | 1.0                        | 0.00e+00                    | -1.37737e+00        | -3.40668e+00        | 2.05842e+01         | -5.31244e+01        | 7.32476e+01         | -5.76546e+01        | 2.61192e+01         | -6.34790e+00        | 6.40331e-01         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| NbTi                            | polylog                    | 0.116                      | 9.232                       | 23.505                     | -1.00000e+00                | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | -2.31297e+00        | 1.48727e+00         | 2.62388e-01         | 4.44392e-01         | 
| Nichrome                        | polylog                    | 4.000                      | 300.000                     | ??                         | 0.00e+00                    | -1.50540e+00        | 1.40318e+00         | 1.71974e-01         | -1.29564e-01        | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Nickel_Steel_Fe_2.25_Ni         | polylog                    | 4.000                      | 300.000                     | 2.0                        | 0.00e+00                    | -3.57850e+00        | 2.08040e+01         | -5.58260e+01        | 8.78120e+01         | -8.35016e+01        | 4.90800e+01         | -1.74348e+01        | 3.42770e+00         | -2.86220e-01        | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Nylon                           | polylog                    | 4.000                      | 300.000                     | 2.0                        | 0.00e+00                    | -2.61350e+00        | 2.32390e+00         | -4.75860e+00        | 7.16020e+00         | -4.91550e+00        | 1.63240e+00         | -2.50700e-01        | 1.31000e-02         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Phosbronze                      | lowTextrapolate            | 0.010                      | 4.000                       | ??                         | 0.00e+00                    | 4.00000e+00         | 1.00000e-02         | 1.00000e+00         | 3.60000e-01         | 1.00000e-02         | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
| Platinum                        | polylog                    | 3.000                      | 298.000                     | 3.0                        | 0.00e+00                    | -7.33450e+00        | 8.08550e+01         | -2.68441e+02        | 4.81629e+02         | -5.03890e+02        | 3.14813e+02         | -1.15699e+02        | 2.30957e+01         | -1.93362e+00        | 0.00e+00            | 0.00e+00            | 0.00e+00            | 0.00e+00            | 
