Aluminum110,RunyanJones,2008
T_bar,k (W/m*K),k/T
0.264,0.00E+00,0
0.309,2.32E-01,0.750809061
0.31,2.35E-01,0.758064516
0.336,3.56E-01,1.05952381
0.337,3.58E-01,1.06231454
0.38,6.65E-01,1.75
0.42,1.00E+00,2.380952381
0.466,1.48E+00,3.175965665
0.467,1.49E+00,3.190578158
0.509,2.02E+00,3.968565815
0.511,2.04E+00,3.992172211
0.558,2.71E+00,4.856630824
0.631,3.88E+00,6.148969889
0.632,3.91E+00,6.186708861
0.665,4.46E+00,6.706766917
0.74,5.81E+00,7.851351351
0.828,7.45E+00,8.997584541
0.837,7.63E+00,9.115890084
0.998,1.05E+01,10.52104208
1.014,1.08E+01,10.65088757
1.052,1.14E+01,10.8365019
1.061,1.15E+01,10.83883129
