Crowley,Tlow_0.3K,2022
T,k,koT
0.6975,2.9932526217843156,4.291401608292926
0.7275,2.3571864396551416,3.2401188173953837
0.7525,2.8810056484673945,3.8285789348403916
0.7825,2.432017755199747,3.1080099107983985
0.8300000000000001,3.492128058748364,4.207383203311282
0.895,3.7415657772303827,4.180520421486461
0.97,3.9286440660919046,4.050148521744232
1.0525,4.313805249042096,4.098627315004366
1.1375,4.930063141762392,4.334121443307597
1.2225,5.546321034482692,4.536867921867233
1.3075,6.162578927202976,4.713253481608394
1.4,5.762011296934804,4.115722354953432
1.495,6.984256117496703,4.671743222405821
1.585,7.566277460621461,4.773676631306916
1.68,7.3334689233715515,4.365160073435447
1.7525,8.584814811089739,4.898610448553346
