Crowley,assembly_Tlow_0.27K,2022
T,k,koT
0.545,3.26729,5.9950275229357795
0.598,3.59763,6.016103678929766
0.644,4.153168,6.449018633540373
0.687,4.3771569999999995,6.371407569141192
0.727,4.8925469999999995,6.729775790921595
0.765,5.065606000000001,6.621707189542485
0.798,5.59046,7.005588972431077
0.828,6.007949,7.255977053140097
0.862,5.847516,6.783661252900232
0.889,6.776359,7.6224510686164235
0.917,7.167207,7.815929116684842
0.944,7.053197,7.471606991525424
0.97,7.229622,7.453218556701031
0.994,8.118538999999998,8.167544265593559
1.02,7.343518,7.199527450980392
1.043,8.086506,7.753121764141899
1.066,8.325793999999998,7.8103133208255136
1.089,8.565081000000001,7.865088154269974
1.108,8.756062,7.902583032490974
1.207,9.780348,8.103022369511184
1.294,11.029547,8.523606646058733
1.375,11.748745999999999,8.544542545454545
1.449,12.465859,8.60307729468599
1.859,14.817423999999999,7.970642280796127
2.261,19.114715,8.454097744360903
2.673,23.032627,8.616770295548074
3.72,27.341337,7.349821774193548
4.842,33.861005,6.993185667079719
