Crowley,tube_Tlow_0.25K,2022
T,k,koT
0.26382,1.381936,5.238177545296035
0.26997,1.355714,5.021720931955403
0.27884,1.3159770000000002,4.719469946922968
0.32527,1.723918,5.2999600332031855
0.38857,2.107464,5.423640528090176
0.45844,2.673033,5.830715033592183
0.53399,3.178356,5.952088990430533
0.60663,4.040269,6.660186604684899
0.68028,4.709375,6.922700946669019
0.75499,5.35679,7.09518006861018
0.83183,5.902778,7.096135027589772
0.9043,6.99503,7.735298020568395
0.97599,7.815456999999999,8.00772241518868
