Phonon Scattering and Transmission at Silicon-Helium Interfaces,J. R. Olson,Cornell University 1993
T(K),k(W/m/K),k/T
0.112,6.38E-03,5.70E-02
0.129,6.85E-03,5.31E-02
0.149,8.06E-03,5.41E-02
0.179,9.83E-03,5.49E-02
0.212,1.16E-02,5.47E-02
0.26,1.45E-02,5.58E-02
0.318,1.83E-02,5.75E-02
0.373,2.19E-02,5.87E-02
0.444,2.66E-02,5.99E-02
0.532,3.23E-02,6.07E-02
0.632,3.90E-02,6.17E-02
0.759,4.77E-02,6.28E-02
0.882,5.35E-02,6.07E-02
1.098,7.01E-02,6.38E-02
1.282,7.70E-02,6.01E-02
1.546,9.62E-02,6.22E-02
1.874,1.19E-01,6.35E-02
2.23,1.51E-01,6.77E-02
2.755,2.04E-01,7.40E-02
