Phonon Scattering and Transmission at Silicon-Helium Interfaces,J. R. Olson,Cornell University 1993
T(K),k(W/m/K),k/T
31.86,5.16E-01,1.62E-02
33.15,5.26E-01,1.59E-02
34.5,5.30E-01,1.54E-02
35.9,5.37E-01,1.50E-02
37.33,5.55E-01,1.49E-02
38.84,5.59E-01,1.44E-02
40.42,5.74E-01,1.42E-02
42.05,5.85E-01,1.39E-02
43.74,6.03E-01,1.38E-02
45.52,6.13E-01,1.35E-02
47.38,6.56E-01,1.38E-02
49.65,6.88E-01,1.39E-02
52.02,6.72E-01,1.29E-02
54.14,6.97E-01,1.29E-02
56.34,7.26E-01,1.29E-02
58.68,7.35E-01,1.25E-02
61.05,7.45E-01,1.22E-02
63.55,7.75E-01,1.22E-02
66.09,7.71E-01,1.17E-02
68.8,7.84E-01,1.14E-02
71.58,8.11E-01,1.13E-02
74.49,8.24E-01,1.11E-02
77.49,8.25E-01,1.06E-02
80.65,8.42E-01,1.04E-02
83.9,8.83E-01,1.05E-02
87.27,8.86E-01,1.02E-02
90.83,8.88E-01,9.78E-03
94.57,9.05E-01,9.57E-03
98.39,9.14E-01,9.29E-03
102.3,9.38E-01,9.17E-03
106.5,9.40E-01,8.83E-03
110.8,9.24E-01,8.34E-03
115.2,9.59E-01,8.32E-03
119.9,9.62E-01,8.02E-03
124.8,9.66E-01,7.74E-03
129.9,1.00E+00,7.70E-03
135.2,9.82E-01,7.26E-03
140.8,1.00E+00,7.10E-03
146.5,1.01E+00,6.89E-03
152.5,1.10E+00,7.21E-03
155.6,1.02E+00,6.56E-03
161.8,1.08E+00,6.67E-03
168.3,9.94E-01,5.91E-03
175.2,9.99E-01,5.70E-03
182.3,1.08E+00,5.92E-03
189.8,1.11E+00,5.85E-03
197.5,1.11E+00,5.62E-03
205.5,1.08E+00,5.26E-03
213.9,1.08E+00,5.05E-03
222.8,1.13E+00,5.07E-03
232.1,1.06E+00,4.57E-03
241.4,1.06E+00,4.39E-03
251.2,1.13E+00,4.50E-03
261.5,1.11E+00,4.24E-03
272.3,1.15E+00,4.22E-03
283.8,1.13E+00,3.98E-03
295.2,1.19E+00,4.03E-03
298,1.18E+00,3.96E-03
