Thermal Conductivity of the Elements: A Comprehensive Review,C.Y. Ho-- R.W. Powell--  P.E. Liley,J. Phys. Chem. Ref. Data 3 Supplement No. 1 (1974) pp. 242-257 
T(K),k(W/m/K),k/T
1,4220,4220
2,8400,4200
3,12500,4166.666667
4,16200,4050
5,19500,3900
6,22200,3700
7,23900,3414.285714
8,24800,3100
9,24900,2766.666667
10,24300,2430
11,23200,2109.090909
12,21800,1816.666667
13,20200,1553.846154
14,18600,1328.571429
15,17100,1140
16,15700,981.25
18,13100,727.7777778
20,10800,540
25,6830,273.2
30,4450,148.3333333
35,3040,86.85714286
40,2170,54.25
45,1620,36
50,1250,25
60,829,13.81666667
70,647,9.242857143
80,557,6.9625
90,508,5.644444444
100,482,4.82
123.2,447,3.628246753
150,429,2.86
173.2,420,2.424942263
200,413,2.065
223.2,409,1.832437276
250,406,1.624
273.2,403,1.47510981
298.2,401,1.344735077
300,401,1.336666667
323.2,399,1.234529703
350,396,1.131428571
373.2,395,1.058413719
400,393,0.9825
473.2,388,0.819949281
500,386,0.772
573.2,381,0.664689463
600,379,0.631666667
673.2,374,0.555555556
700,373,0.532857143
773.2,368,0.475944128
800,366,0.4575
873.2,361,0.413421896
900,359,0.398888889
973.2,354,0.363748459
1000,352,0.352
1073.2,347,0.323332091
1100,346,0.314545455
1173.2,341,0.290658029
1200,339,0.2825
1273.2,334,0.262331134
1300,332,0.255384615
1357.6,328,0.241602829
