Thermal Conductivity,J.G. Hust-- P.J.Giarratano,Semi-Annual Report on Materials Research in Support of Superconducting Machinery NBSIR 74-393 (1974) pp. 1-35.
T(K),k(W/m/K),k/T
8,2730,341.25
9,3000,333.3333333
10,3230,323
12,3610,300.8333333
14,3900,278.5714286
16,4070,254.375
18,4120,228.8888889
20,4050,202.5
25,3550,142
30,2870,95.66666667
35,2250,64.28571429
40,1770,44.25
45,1410,31.33333333
50,1150,23
60,834,13.9
70,664,9.485714286
80,568,7.1
90,513,5.7
100,480,4.8
120,448,3.733333333
140,434,3.1
160,426,2.6625
180,420,2.333333333
200,415,2.075
220,412,1.872727273
240,411,1.7125
260,412,1.584615385
280,412,1.471428571
300,411,1.37
