CST Fiberglass rod,RunyanJones,2008
T_bar,k (W/m*K),k/T
0.304381212,0.000625553,0.002055162
0.318282774,0.000826461,0.002596624
0.333020883,0.001035025,0.003107987
0.347139106,0.001188023,0.003422325
0.380473015,0.001529006,0.004018697
0.412368748,0.001852196,0.0044916
0.445681918,0.002196738,0.004928937
0.480989921,0.002563037,0.005328671
0.548120778,0.003376382,0.006159923
0.615003907,0.004214253,0.0068524
0.684705938,0.005150047,0.007521546
0.767649803,0.006335071,0.008252553
1.123113974,0.012297528,0.010949492
1.485456908,0.019078637,0.012843615
2.189448181,0.033020901,0.015081837
2.970783932,0.048525042,0.016334087
