"Thermal Conductivity of a Polymide Film Between 4.2 and 300K with and without Alumina Particles as Filler",D. L. Rule-- D. R. Smith-- L. L. Sparks,NISTIR 3948 1990
T(K),k(W/m/K),k/T
4.64E+00,1.10E-02,2.37E-03
5.16E+00,1.10E-02,2.13E-03
6.22E+00,1.40E-02,2.25E-03
8.38E+00,1.90E-02,2.27E-03
1.29E+01,3.10E-02,2.40E-03
2.25E+01,5.30E-02,2.36E-03
4.19E+01,8.60E-02,2.05E-03
7.71E+01,1.26E-01,1.63E-03
7.71E+01,1.27E-01,1.65E-03
7.82E+01,1.26E-01,1.61E-03
8.04E+01,1.29E-01,1.61E-03
8.48E+01,1.32E-01,1.56E-03
9.36E+01,1.38E-01,1.47E-03
1.12E+02,1.47E-01,1.32E-03
1.18E+02,1.51E-01,1.28E-03
1.93E+02,1.73E-01,8.98E-04
1.93E+02,1.71E-01,8.85E-04
1.94E+02,1.70E-01,8.75E-04
1.97E+02,1.74E-01,8.85E-04
2.01E+02,1.75E-01,8.69E-04
2.11E+02,1.76E-01,8.35E-04
2.30E+02,1.78E-01,7.73E-04
2.74E+02,1.83E-01,6.69E-04
2.74E+02,1.84E-01,6.71E-04
2.74E+02,1.84E-01,6.71E-04
2.75E+02,1.85E-01,6.72E-04
2.78E+02,1.86E-01,6.69E-04
2.83E+02,1.88E-01,6.65E-04
2.92E+02,1.90E-01,6.51E-04
2.92E+02,1.90E-01,6.51E-04
3.06E+02,1.92E-01,6.27E-04
3.07E+02,1.92E-01,6.26E-04
