"Thermal Conductivity of a Polymide Film Between 4.2 and 300K with and without Alumina Particles as Filler",D. L. Rule-- D. R. Smith-- L. L. Sparks,NISTIR 3948 1990
T(K),k(W/m/K),k/T
4.64E+00,1.30E-02,2.80E-03
5.17E+00,1.40E-02,2.71E-03
6.24E+00,1.70E-02,2.73E-03
8.44E+00,2.40E-02,2.84E-03
1.31E+01,3.90E-02,2.97E-03
2.30E+01,6.90E-02,3.00E-03
7.66E+01,1.88E-01,2.46E-03
7.83E+01,1.94E-01,2.48E-03
8.06E+01,1.97E-01,2.45E-03
8.51E+01,2.04E-01,2.40E-03
9.44E+01,2.17E-01,2.30E-03
1.13E+02,2.40E-01,2.12E-03
1.93E+02,3.14E-01,1.63E-03
1.93E+02,3.12E-01,1.61E-03
1.95E+02,3.17E-01,1.63E-03
1.97E+02,3.25E-01,1.65E-03
2.02E+02,3.21E-01,1.59E-03
2.13E+02,3.44E-01,1.62E-03
2.21E+02,3.50E-01,1.58E-03
2.74E+02,3.58E-01,1.31E-03
2.74E+02,3.59E-01,1.31E-03
2.76E+02,3.61E-01,1.31E-03
2.78E+02,3.64E-01,1.31E-03
2.83E+02,3.68E-01,1.30E-03
2.94E+02,3.76E-01,1.28E-03
2.97E+02,3.69E-01,1.24E-03
