Thermophysical properties of stainless steels,R.H. Bogaard-P.D. Desai-H.H. Li-C.Y. Ho,1993
T (K),k (W/m-K),k/T
0.392950009,0.024109843,0.061356005
0.419125599,0.026036616,0.062121273
0.447132328,0.027406937,0.061294912
0.48311757,0.029979008,0.062053235
0.515349924,0.031963205,0.062022333
0.549625156,0.034962104,0.063610816
0.593917145,0.037756979,0.063572805
0.64177844,0.040775275,0.063534817
0.693496676,0.044034855,0.063496851
0.730199266,0.046948326,0.064295225
0.799223105,0.052016783,0.065084183
0.852461777,0.0555,0.065105558
0.957555172,0.063042459,0.065836895
1.034720532,0.0688,0.066491384
1.103430422,0.074,0.067063585
1.207734832,0.082,0.067895698
1.322028232,0.091,0.068833628
1.446996124,0.1005,0.069454229
1.604524608,0.113,0.070425844
1.802157627,0.128,0.071025974
2.023935496,0.1455,0.071889643
2.273228326,0.166,0.073023901
2.553476999,0.187374066,0.07337997
2.943053085,0.2195,0.074582413
3.348203649,0.254,0.075861574
3.960023512,0.304931757,0.077002512
4.447788796,0.346624499,0.07793187
4.805747162,0.37915433,0.078896021
5.46785749,0.436555265,0.079840279
6.220581102,0.507,0.08150364
6.986784508,0.578730187,0.082832122
8.263485089,0.703,0.085073065
9.522355591,0.83,0.087163307
11.55600042,1.045,0.090429211
13.48694464,1.26,0.09342368
16.15722793,1.572346032,0.097315334
18.6186419,1.881274387,0.101042514
22.58830564,2.42,0.107135083
27.05792155,3.022321376,0.111698209
31.99910514,3.68,0.115003216
38.83300396,4.56,0.117425889
44.18320906,5.22,0.118144429
48,5.65,0.117708333
52.94659427,6.16,0.116343649
63.47296708,7.03,0.110755812
76.08465424,7.98,0.104883174
87.7269869,8.758818358,0.099841778
109.355621,9.831530885,0.089904212
126.126037,10.48362068,0.083120194
141.7444739,11.03634638,0.077860858
174.4573036,11.92120475,0.068333079
209.2232395,12.71273062,0.060761561
250.8682444,13.90822584,0.05544036
293.1309703,14.83103297,0.050595244
351.546252,15.81576116,0.044989133
432.6363364,17.30382118,0.039996227
553.4687984,19.67405012,0.03554681
672.3281372,21.52465396,0.032015102
795.7280721,23.54829957,0.029593401
966.6134278,25.76332767,0.026653186
1174.082106,28.54969401,0.024316608
1371.472131,31.63533313,0.023066698
1623.193816,34.60953671,0.021321876
