MACOR ROD,RunyanJones,2008
T_bar,k (W/m*K),k/T
0.337294102,0.000112891,0.000334696
0.35251015,0.000179235,0.000508453
0.386291754,0.000291548,0.000754735
0.419285151,0.000411171,0.000980648
0.491459038,0.000661081,0.001345139
0.563259995,0.000963024,0.001709733
0.640901969,0.001354441,0.002113336
0.717917087,0.001804855,0.002514016
0.795674955,0.002353952,0.002958434
1.176861372,0.006001255,0.005099372
1.570487644,0.012024106,0.007656288
2.313500968,0.027443859,0.01186248
3.21338073,0.051910219,0.016154394
