"Effects of temperature and pressure on the thermal conductivity of solids. Part II The effects of low temperatures on the thermal and electrical conductivities of certain approximately pure metals and alloys								",C.H. Lees,Phil. Trans. Roy. Soc. 1908
T(K),k(W/m/K),k/T
1.13E+02,1.46E+01,1.29E-01
1.23E+02,1.46E+01,1.19E-01
1.48E+02,1.55E+01,1.05E-01
1.73E+02,1.63E+01,9.41E-02
1.98E+02,1.72E+01,8.68E-02
2.23E+02,1.80E+01,8.06E-02
2.48E+02,1.92E+01,7.74E-02
2.73E+02,2.09E+01,7.65E-02
2.91E+02,2.18E+01,7.49E-02
2.95E+02,2.21E+01,7.49E-02
