Technique for thermal conductivity measurements for organic materials over a wide temperature range,K. Torizuka-- H. Tajima,Rev. Sci. Instrum. 2005
T(K),k(W/m/K),k/T
8.45E+00,1.37E+00,1.62E-01
1.05E+01,1.74E+00,1.66E-01
1.12E+01,2.48E+00,2.22E-01
1.17E+01,2.67E+00,2.28E-01
1.60E+01,3.15E+00,1.97E-01
1.65E+01,3.89E+00,2.36E-01
2.03E+01,4.89E+00,2.41E-01
2.08E+01,4.37E+00,2.10E-01
2.54E+01,5.45E+00,2.15E-01
3.54E+01,7.41E+00,2.09E-01
4.04E+01,8.30E+00,2.06E-01
4.48E+01,9.16E+00,2.04E-01
4.98E+01,9.45E+00,1.90E-01
5.44E+01,9.90E+00,1.82E-01
5.98E+01,1.04E+01,1.74E-01
6.46E+01,1.08E+01,1.68E-01
7.01E+01,1.11E+01,1.58E-01
8.02E+01,1.20E+01,1.49E-01
8.54E+01,1.24E+01,1.45E-01
9.09E+01,1.28E+01,1.41E-01
9.59E+01,1.34E+01,1.40E-01
1.00E+02,1.37E+01,1.37E-01
1.02E+02,1.37E+01,1.34E-01
1.11E+02,1.45E+01,1.31E-01
1.12E+02,1.43E+01,1.28E-01
1.22E+02,1.56E+01,1.28E-01
1.29E+02,1.65E+01,1.28E-01
