Thermal conductivity of some common cryostat materials between 0.05 and 2 K,J.R. Olson,Cryogenics 1993 Vol 33  No 7
T (K),k (W/m/K),k/T
0.116,1.01E-06,8.73E-06
0.126,1.60E-06,1.27E-05
1.203,5.35E-05,4.44E-05
0.144,1.77E-06,1.23E-05
0.176,2.45E-06,1.39E-05
0.203,3.29E-06,1.62E-05
0.260,6.15E-06,2.36E-05
0.229,4.04E-06,1.76E-05
0.315,7.28E-06,2.31E-05
0.304,9.20E-06,3.02E-05
0.368,1.13E-05,3.07E-05
0.415,1.29E-05,3.10E-05
0.506,1.35E-05,2.68E-05
0.513,1.69E-05,3.29E-05
0.449,1.36E-05,3.03E-05
0.565,1.86E-05,3.30E-05
0.640,1.95E-05,3.05E-05
0.582,2.01E-05,3.45E-05
0.630,2.27E-05,3.61E-05
0.675,2.55E-05,3.77E-05
0.738,2.78E-05,3.77E-05
0.781,3.16E-05,4.05E-05
0.891,4.05E-05,4.54E-05
0.930,3.53E-05,3.79E-05
0.831,3.58E-05,4.31E-05
1.034,4.40E-05,4.26E-05
1.099,5.05E-05,4.60E-05
1.338,5.67E-05,4.24E-05
1.481,6.57E-05,4.44E-05
1.700,7.04E-05,4.14E-05
1.307,6.05E-05,4.63E-05
1.658,8.24E-05,4.97E-05
1.765,7.24E-05,4.10E-05
1.449,6.65E-05,4.59E-05
1.876,9.27E-05,4.94E-05
2.099,1.15E-04,5.47E-05
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
