Phonon Scattering and Transmission at Silicon-Helium Interfaces,J. R. Olson,Cornell University 1993
T(K),k(W/m/K),k/T
0.116,3.68E-04,3.17E-03
0.149,5.97E-04,4.01E-03
0.187,1.01E-03,5.40E-03
0.231,1.54E-03,6.67E-03
0.299,2.53E-03,8.46E-03
0.34,3.40E-03,1.00E-02
0.36,3.69E-03,1.03E-02
0.456,5.78E-03,1.27E-02
0.517,6.99E-03,1.35E-02
0.672,1.12E-02,1.67E-02
0.789,1.38E-02,1.75E-02
0.8,1.60E-02,2.00E-02
0.868,1.54E-02,1.77E-02
0.871,1.59E-02,1.83E-02
0.877,1.76E-02,2.01E-02
1.07,2.14E-02,2.00E-02
1.09,2.62E-02,2.40E-02
1.22,2.43E-02,1.99E-02
1.24,3.08E-02,2.48E-02
1.5,3.37E-02,2.25E-02
1.52,4.08E-02,2.68E-02
1.82,4.53E-02,2.49E-02
1.91,5.44E-02,2.85E-02
2,5.73E-02,2.87E-02
2.12,5.42E-02,2.56E-02
2.15,6.29E-02,2.93E-02
2.27,8.59E-02,3.78E-02
2.44,9.72E-02,3.98E-02
2.6,1.06E-01,4.08E-02
2.88,1.23E-01,4.27E-02
3.19,1.41E-01,4.42E-02
3.36,1.50E-01,4.46E-02
3.42,1.50E-01,4.39E-02
4.25,2.05E-01,4.82E-02
4.27,2.03E-01,4.75E-02
5.43,3.05E-01,5.62E-02
5.44,2.99E-01,5.50E-02
5.94,3.44E-01,5.79E-02
6.62,4.13E-01,6.24E-02
8.49,5.06E-01,5.96E-02
9.93,6.57E-01,6.62E-02
11.5,7.59E-03,6.60E-04
13,8.79E-01,6.76E-02
14.9,1.10E+00,7.38E-02
17.3,1.28E+00,7.40E-02
19.7,1.35E+00,6.85E-02
