Low temperature transport properties of copper and its dilute alloys: Pure copper annealed and cold-drawn,R.L. Powell-- H.M. Roder-- W.J. Hall,Phys. Rev. 115 (1959) pp. 314-323
T(K),k(W/m/K),k/T
4,637,159.25
6,945,157.5
8,1250,156.25
10,1557,155.7
12,1840,153.3333333
14,2085,148.9285714
16,2280,142.5
18,2390,132.7777778
20,2441,122.05
22,2444,111.0909091
24,2400,100
26,2309,88.80769231
28,2187,78.10714286
30,2045,68.16666667
32,1908,59.625
34,1769,52.02941176
36,1632,45.33333333
38,1503,39.55263158
40,1388,34.7
45,1140,25.33333333
65,640,9.846153846
75,536,7.146666667
85,485,5.705882353
95,455,4.789473684
105,430,4.095238095
