Thermal and electrical conductivities of solids at low temperatures,G.K. White-- S.B. Woods,Can. J. Phys. 33 (1955) pp. 58-73
T(K),k(W/m/K),k/T
1.4946,45.661,30.5515315
2.3999,73.263,30.52701165
2.9763,91.652,30.79401227
3.9658,122.018,30.7673975
7.0416,213.597,30.33343311
8.0122,244.922,30.56851846
8.9871,273.944,30.48179594
12.149,364.715,30.02032368
15.0682,445.063,29.53663581
18.1597,529.76,29.17223388
21.2682,599.979,28.21012546
28.7611,732.248,25.45966512
37.2712,769.849,20.65529392
57.5133,544.003,9.458730223
61.8265,511.291,8.269775008
72.481,457.307,6.309339601
91.3061,424.6,4.650292635
108.6114,365.883,3.368731019
123.6594,361.433,2.922814068
