Metallic heat conductivity below 1 K,P. Lindenfeld-- E.A. Lynton-- R. Soulen,Physics Letters 19 (1965) p. 265
T(K),k(W/m/K),k/T
0.427909844,127.1583452,297.1615329
0.446210045,134.1274904,300.5927186
0.476115996,143.4591187,301.3112766
0.508925933,153.347508,301.3159638
0.564356385,171.6665039,304.1810253
0.574433723,173.9941081,302.8967506
0.604309106,183.7364828,304.0438756
0.644353532,194.9949263,302.6210249
0.66869606,201.5040602,301.3387881
0.702891758,212.2136366,301.9151017
0.731422138,220.8303702,301.9191775
0.774238086,233.5408509,301.6395798
0.821313213,247.7460957,301.6463048
0.894024923,270.1994725,302.2281208
0.92541853,279.5594511,302.0897484
0.952522391,287.7509377,302.0936204
0.979646631,295.6688944,301.811781
1.043850175,314.906733,301.6780958
1.176465494,355.7764905,302.4113266
1.279154482,387.2150414,302.7117107
1.32337657,400.6099459,302.7180281
1.364755811,412.9492902,302.5810823
1.436041002,435.3540596,303.1626945
1.468871318,444.8941981,302.8816702
