Thermal conductivity and electrical resistivity of high-purity copper from 78 to 400 K,J.P. Moore-- D.L. McElroy-- R.S. Graves,Can. J. Phys. 45 (1967) pp. 3677-3696
T(K),k(W/m/K),k/T
85.672,523.9792041,6.116090332
94.108,495.7197979,5.267552195
109.2666047,464.2130423,4.248443918
120.3928632,450.8005641,3.744412684
139.2410079,432.6882346,3.107477036
159.0872376,426.023564,2.677924202
179.0582279,417.0633954,2.329205422
199.0358545,414.5225645,2.082652724
218.6418536,411.6028133,1.88254356
243.4904533,407.2298296,1.672467335
268.3536528,403.3864602,1.50318975
287.9158529,402.3238387,1.397366052
302.0244212,400.5982467,1.326377003
322.7824653,399.1303332,1.236530407
359.1727499,397.3804097,1.106376834
374.9801862,395.6674997,1.055169084
390.051004,395.3760016,1.013652055
