The Nernst-Ettinghausen coefficient and the Kondo effect in copper and gold,R. Fletcher,Philos. Mag. 25 (1972) pp. 87-95
T(K),k(W/m/K),k/T
3.0561,185.0771687,60.55898999
3.4919,213.8158595,61.23223471
4.1868,265.8775945,63.50374984
4.7911,321.4901543,67.10136073
5.7505,382.5694518,66.52766017
5.9131,425.5369878,71.96489886
6.3535,441.7583821,69.5297887
6.7053,456.1660458,68.03071611
6.4355,461.4539649,71.70476958
7.9246,538.7802022,67.98865029
8.4502,565.7562533,66.95150523
8.4469,574.6971794,68.0363539
10.1013,687.8382118,68.09436124
10.7009,755.9680681,70.64524792
11.1453,761.4603513,68.32126826
12.8916,867.4741884,67.29006223
13.3246,903.36562,67.796621
13.9429,921.4262906,66.08559569
15.957,1027.516764,64.39275262
15.8638,1038.22033,65.44605475
16.8332,1072.476849,63.71216744
18.8466,1180.355508,62.6296461
19.3816,1182.296966,61.00104344
20.0832,1216.476849,60.57199642
21.0499,1257.88611,59.757362
23.0959,1278.143693,55.34064947
23.3644,1276.432145,54.63144408
24.3398,1294.594997,53.18838076
26.5691,1302.386376,49.01892405
26.5724,1293.44545,48.6763136
27.0168,1298.937733,48.07895281
29.7064,1269.304949,42.7283908
30.2394,1276.610963,42.21687001
31.5918,1241.230442,39.28963461
34.5592,1184.851517,34.28468471
35.1835,1186.81852,33.73227096
39.0596,1087.778606,27.84919543
42.2062,1029.662586,24.39598767
46.9811,914.7844598,19.47132622
