Measurement of thermal conductivity of ultrapure copper at low temperatures,G. Ke-- H. Makuuchi-- T. Hashimoto-- N. Yamamoto,Jpn. J. Appl. Phys. 33 (1994) pp. 1468-1469
T(K),k(W/m/K),k/T
4.199,34735.9,8272.422005
4.688,37925.4,8089.884812
5.131,40839.3,7959.32177
6.061,44658.7,7368.211516
6.515,45200.1,6937.854183
6.817,44111,6470.73346
7.137,42811.8,5998.572229
7.97,42026.1,5273.036386
8.963,39276.2,4382.031686
9.778,37331.6,3817.918797
10.73,34636,3227.95713
11.953,31043.1,2597.094453
12.868,28018.4,2177.369444
13.802,25384.2,1839.166063
14.782,22594.4,1528.51035
16.124,19324.6,1198.498512
17.171,17657,1028.304117
19.403,13734,707.8271401
21.029,11480.9,545.9565362
23.238,9435.4,406.0320165
25.424,6936.3,272.8233559
27.774,5906.6,212.6671347
29.606,5333.9,180.1611498
31.669,4469.5,141.1330955
34.315,3701.9,107.8788868
39.117,2969.8,75.92113403
41.023,2680,65.3292787
47.008,2162,45.9913419
50.795,1821,35.84949306
54.488,1500.9,27.54599178
58.221,1274.1,21.88349565
61.923,1095.2,17.68657849
65.891,909.5,13.80319012
69.336,909,13.1094381
73.002,806.4,11.04635489
79.291,686.6,8.659557831
85.68,672.5,7.849323063
90.021,630,6.998600327
