THERMAL AND ELECTRICAL CONDUCTIVITY MEASUREMENTS OF CDA 510 PHOSPHOR BRONZE,J. Tuttle-- E. Canavan-- M. DiPirro,AIP Conference Proceedings 2010
T(K),k(W/m/K),k/T
4.14E+00,1.48E+00,3.58E-01
5.49E+00,2.10E+00,3.83E-01
6.88E+00,2.80E+00,4.07E-01
8.18E+00,3.43E+00,4.20E-01
1.10E+01,4.97E+00,4.52E-01
1.60E+01,7.57E+00,4.74E-01
2.09E+01,9.98E+00,4.77E-01
2.49E+01,1.17E+01,4.71E-01
2.49E+01,1.17E+01,4.71E-01
2.99E+01,1.37E+01,4.56E-01
3.50E+01,1.53E+01,4.37E-01
3.99E+01,1.71E+01,4.28E-01
4.98E+01,1.99E+01,4.00E-01
5.99E+01,2.28E+01,3.80E-01
6.98E+01,2.53E+01,3.63E-01
7.97E+01,2.79E+01,3.50E-01
9.96E+01,3.30E+01,3.31E-01
1.24E+02,3.96E+01,3.19E-01
1.49E+02,4.67E+01,3.13E-01
1.74E+02,5.42E+01,3.11E-01
1.99E+02,6.23E+01,3.13E-01
2.24E+02,7.03E+01,3.14E-01
2.49E+02,7.93E+01,3.18E-01
2.74E+02,8.98E+01,3.28E-01
2.89E+02,9.46E+01,3.27E-01
