Measurement of the thermal conductivity of the supports of CUORE cryostat,M. Barucci-L. Lolli-L. Risegari-G. Ventura,2008
T (K),k (W/m-K),k/T (W/m-K^2)
5.66E-02,5.93E-05,1.05E-03
6.12E-02,7.17E-05,1.17E-03
6.45E-02,8.65E-05,1.34E-03
6.88E-02,9.64E-05,1.40E-03
7.24E-02,1.07E-04,1.48E-03
7.63E-02,1.26E-04,1.65E-03
8.47E-02,1.61E-04,1.90E-03
9.39E-02,2.05E-04,2.18E-03
1.03E-01,2.47E-04,2.41E-03
1.10E-01,2.99E-04,2.72E-03
1.19E-01,3.51E-04,2.96E-03
1.25E-01,4.02E-04,3.21E-03
1.32E-01,4.60E-04,3.49E-03
1.39E-01,5.26E-04,3.79E-03
1.52E-01,6.52E-04,4.30E-03
1.64E-01,7.67E-04,4.67E-03
1.75E-01,9.51E-04,5.43E-03
1.87E-01,1.09E-03,5.82E-03
1.94E-01,1.25E-03,6.41E-03
2.07E-01,1.42E-03,6.87E-03
2.24E-01,1.72E-03,7.67E-03
2.30E-01,1.97E-03,8.55E-03
2.39E-01,2.02E-03,8.45E-03
2.46E-01,2.25E-03,9.17E-03
2.59E-01,2.51E-03,9.70E-03
2.69E-01,2.72E-03,1.01E-02
2.80E-01,3.03E-03,1.08E-02
2.91E-01,3.28E-03,1.13E-02
3.02E-01,3.56E-03,1.18E-02
3.06E-01,3.76E-03,1.23E-02
3.10E-01,3.96E-03,1.28E-02
3.18E-01,4.18E-03,1.31E-02
3.27E-01,4.30E-03,1.32E-02
3.31E-01,4.54E-03,1.37E-02
3.35E-01,4.66E-03,1.39E-02
3.44E-01,4.92E-03,1.43E-02
3.49E-01,5.05E-03,1.45E-02
3.53E-01,5.33E-03,1.51E-02
3.62E-01,5.48E-03,1.51E-02
3.72E-01,5.78E-03,1.55E-02
3.77E-01,5.94E-03,1.58E-02
3.87E-01,6.10E-03,1.58E-02
3.97E-01,6.27E-03,1.58E-02
4.07E-01,6.61E-03,1.62E-02
4.13E-01,6.79E-03,1.65E-02
4.52E-01,8.20E-03,1.82E-02
5.64E-01,1.33E-02,2.36E-02
7.03E-01,2.11E-02,3.00E-02
8.32E-01,2.76E-02,3.32E-02
9.35E-01,3.42E-02,3.66E-02
1.02E+00,3.88E-02,3.79E-02
1.06E+00,4.09E-02,3.87E-02
1.17E+00,4.77E-02,4.08E-02
1.21E+00,4.99E-02,4.12E-02
1.28E+00,5.45E-02,4.26E-02
1.39E+00,6.14E-02,4.41E-02
1.50E+00,6.86E-02,4.58E-02
1.57E+00,7.33E-02,4.67E-02
1.60E+00,7.54E-02,4.71E-02
1.70E+00,8.26E-02,4.86E-02
1.75E+00,8.52E-02,4.88E-02
1.81E+00,8.99E-02,4.96E-02
1.92E+00,9.75E-02,5.09E-02
2.09E+00,1.10E-01,5.29E-02
2.26E+00,1.22E-01,5.39E-02
2.42E+00,1.35E-01,5.56E-02
2.57E+00,1.46E-01,5.66E-02
2.74E+00,1.58E-01,5.78E-02
2.89E+00,1.72E-01,5.95E-02
3.05E+00,1.84E-01,6.05E-02
3.21E+00,1.95E-01,6.09E-02
3.36E+00,2.06E-01,6.13E-02
