Measurement of the thermal conductivity of the supports of CUORE cryostat,M. Barucci-L. Lolli-L. Risegari-G. Ventura,2008
T (K),k/T,k (W/m-K)
4.54E-02,4.31E-02,1.96E-03
4.78E-02,4.44E-02,2.12E-03
5.10E-02,4.39E-02,2.24E-03
5.51E-02,4.29E-02,2.36E-03
5.88E-02,4.48E-02,2.63E-03
6.53E-02,4.49E-02,2.93E-03
7.15E-02,4.45E-02,3.18E-03
7.93E-02,4.59E-02,3.64E-03
8.46E-02,4.66E-02,3.95E-03
1.06E-01,4.64E-02,4.90E-03
1.27E-01,4.67E-02,5.92E-03
1.50E-01,4.64E-02,6.96E-03
1.73E-01,4.73E-02,8.18E-03
1.97E-01,4.63E-02,9.11E-03
2.18E-01,4.77E-02,1.04E-02
2.45E-01,4.86E-02,1.19E-02
2.55E-01,4.80E-02,1.23E-02
2.69E-01,4.81E-02,1.29E-02
2.87E-01,4.89E-02,1.40E-02
3.02E-01,5.03E-02,1.52E-02
3.14E-01,4.84E-02,1.52E-02
3.67E-01,5.00E-02,1.84E-02
4.64E-01,5.19E-02,2.41E-02
5.64E-01,5.16E-02,2.91E-02
6.67E-01,5.26E-02,3.51E-02
7.60E-01,5.43E-02,4.13E-02
8.65E-01,5.61E-02,4.85E-02
9.60E-01,5.63E-02,5.41E-02
1.05E+00,5.73E-02,6.02E-02
1.15E+00,5.83E-02,6.71E-02
1.26E+00,5.47E-02,6.89E-02
1.38E+00,5.41E-02,7.47E-02
1.47E+00,5.81E-02,8.55E-02
1.59E+00,5.82E-02,9.27E-02
1.66E+00,6.07E-02,1.01E-01
1.74E+00,6.25E-02,1.09E-01
1.89E+00,6.62E-02,1.25E-01
2.04E+00,6.64E-02,1.35E-01
2.20E+00,6.66E-02,1.47E-01
2.41E+00,6.59E-02,1.59E-01
2.61E+00,6.79E-02,1.77E-01
2.82E+00,7.00E-02,1.97E-01
3.05E+00,7.02E-02,2.14E-01
