"Thermal conductivity of iron, plain carbon and stainless steels, an Inconel 718 from 360 K to 900 K",L. Filoni,1987
T (K),k/T,k (W/m-K)
350.1965688,0.043390757,15.19529429
389.8133157,0.040578223,15.81793155
436.4378111,0.037817598,16.50502984
479.9489545,0.035754176,17.16017932
530.4678465,0.0337057,17.87978984
580.9867385,0.032013468,18.59940035
633.0460669,0.03061314,19.37952801
659.4716666,0.029955837,19.75502597
683.5649589,0.029403407,20.09913853
731.7407172,0.028448682,20.81705881
801.6882867,0.02721508,21.81801109
871.6358561,0.026179468,22.81896336
