Reference correlations for the thermal conductivity of solid BK7 - PMMA - Pyrex 7740 - Pyroceram 9606 and SS304,K.D. Antoniadis - A. Tyrou - M.J. Assael - X. Li - J. Wu - and H.P. Ebert,International Journal of Thermophysics 41:98 (2020) 35 pages 
T (K),k (W/m-K),k/T
293,14.31482265,0.04885605
300,14.42851886,0.048095063
320,14.75183857,0.046099496
340,15.07699313,0.044344097
360,15.40819978,0.042800555
380,15.74846693,0.041443334
400,16.09959422,0.040248986
420,16.46217245,0.039195649
440,16.83558366,0.03826269
460,17.21800106,0.037430437
480,17.60638908,0.036679977
500,17.99650333,0.035993007
520,18.38289064,0.035351713
540,18.75888903,0.034738683
546,18.86851765,0.034557725
