Measurement of select thermophysical properties of the NPL certified reference material stainless steel 310,J. Blumm-A. Lindemann-B. Niedrig-R. Campbell,2007
T (K),k (W/m-K),k/T
148.15,9.39,6.34E-02
173.15,10.12,5.85E-02
198.15,10.76,5.43E-02
223.15,11.23,5.03E-02
248.15,11.69,4.71E-02
273.15,12.12,4.44E-02
298.15,12.67,4.25E-02
323.15,13.18,4.08E-02
374.15,14.11,3.77E-02
423.15,14.99,3.54E-02
473.15,15.75,3.33E-02
523.15,16.56,3.17E-02
573.15,17.31,3.02E-02
623.15,18.04,2.90E-02
673.15,18.75,2.79E-02
723.15,19.43,2.69E-02
773.15,20.12,2.60E-02
823.15,20.86,2.53E-02
873.15,21.63,2.48E-02
924.15,22.4,2.42E-02
974.15,23.15,2.38E-02
1023.15,23.95,2.34E-02
1073.15,24.49,2.28E-02
1123.15,25.23,2.25E-02
1174.15,26,2.21E-02
1223.15,26.94,2.20E-02
1273.15,27.7,2.18E-02
