An intercomparison involving PTB and NPL of thermal conductivity measurements on stainless steel Inconel and Nimonic alloy reference materials and an iron alloy ,J.M. Corsan-N.J. Budd-W.F. Heminger,1991
T (K),k (W/m-K),k/T
325.1993012,13.21396031,4.06E-02
329.4217462,13.04840803,3.96E-02
332.7360117,13.2683237,3.99E-02
336.9702512,13.13029781,3.90E-02
341.1337235,12.82711358,3.76E-02
357.6342838,13.76153358,3.85E-02
358.6250251,13.56875037,3.78E-02
364.0151294,13.62331073,3.74E-02
376.9773279,13.81481365,3.67E-02
381.2115675,13.67678776,3.59E-02
382.426405,14.00700596,3.66E-02
423.5421684,14.77400248,3.49E-02
448.4758241,15.34979153,3.42E-02
452.6864746,15.15671286,3.35E-02
475.3909624,15.54001415,3.27E-02
487.2090906,15.56645722,3.20E-02
495.8308987,15.64824851,3.16E-02
529.4335407,16.41593442,3.10E-02
547.903789,16.9372616,3.09E-02
551.0411364,16.74428142,3.04E-02
574.8307218,17.15501062,2.98E-02
604.0457952,17.70287934,2.93E-02
613.6819337,17.6469402,2.88E-02
666.9342779,19.18359232,2.88E-02
673.2797399,18.96279029,2.82E-02
678.575488,18.79713953,2.77E-02
746.6889515,19.9470434,2.67E-02
756.3840626,20.02873622,2.65E-02
765.0176653,20.1380539,2.63E-02
