Thermal Conductivity of Some Amorphous Dielectric Solids Below 1°K,A. C. Anderson-- W. Reese-- J. C. Wheatley,"AIP Publishing: Rev. Sci. Instrum. 34 1386–1390 (1963)"
T(K),k(W/m/K),k/T
3.18E-01,2.48E-04,7.81E-04
3.15E-01,2.35E-04,7.45E-04
3.32E-01,2.66E-04,8.01E-04
3.53E-01,2.94E-04,8.34E-04
3.75E-01,3.43E-04,9.17E-04
3.92E-01,3.71E-04,9.48E-04
4.24E-01,4.43E-04,1.05E-03
4.61E-01,5.36E-04,1.16E-03
4.78E-01,6.32E-04,1.32E-03
5.04E-01,7.21E-04,1.43E-03
5.57E-01,9.71E-04,1.74E-03
5.75E-01,1.06E-03,1.84E-03
6.33E-01,1.26E-03,1.98E-03
7.32E-01,1.65E-03,2.26E-03
