Thermal Conductivity and Specific Heat of Some Polymers between 4.5° and 1°K,W. Reese--J. E. Tucker,"AIP Publishing: J. Chem. Phys. 43 105–114 (1965)"
T(K),k(W/m/K),k/T
1.10E+00,4.09E-03,3.70E-03
1.42E+00,5.94E-03,4.18E-03
1.43E+00,6.35E-03,4.44E-03
1.63E+00,7.55E-03,4.64E-03
1.81E+00,8.58E-03,4.73E-03
1.73E+00,8.85E-03,5.13E-03
2.01E+00,1.02E-02,5.10E-03
2.14E+00,1.15E-02,5.39E-03
2.30E+00,1.34E-02,5.84E-03
2.48E+00,1.53E-02,6.18E-03
2.38E+00,1.56E-02,6.54E-03
2.56E+00,1.58E-02,6.19E-03
2.76E+00,1.80E-02,6.51E-03
3.01E+00,1.97E-02,6.54E-03
3.38E+00,2.34E-02,6.91E-03
3.65E+00,2.65E-02,7.26E-03
3.52E+00,2.60E-02,7.38E-03
3.66E+00,2.96E-02,8.09E-03
3.95E+00,3.14E-02,7.95E-03
4.36E+00,3.81E-02,8.74E-03
