Thermal Conductivity and Specific Heat of Some Polymers between 4.5° and 1°K,W. Reese--J. E. Tucker,"AIP Publishing: J. Chem. Phys. 43, 105–114 (1965)"
T(K),k(W/m/K),k/T
3.13E-01,2.35E-04,7.52E-04
3.18E-01,2.49E-04,7.84E-04
3.27E-01,2.62E-04,8.01E-04
3.41E-01,2.90E-04,8.51E-04
3.76E-01,3.47E-04,9.21E-04
3.86E-01,3.64E-04,9.43E-04
4.23E-01,4.47E-04,1.06E-03
4.13E-01,4.38E-04,1.06E-03
4.59E-01,5.38E-04,1.17E-03
4.71E-01,6.20E-04,1.32E-03
4.91E-01,6.35E-04,1.29E-03
4.97E-01,7.21E-04,1.45E-03
5.47E-01,9.78E-04,1.79E-03
5.70E-01,1.05E-03,1.83E-03
6.30E-01,1.25E-03,1.99E-03
7.21E-01,1.66E-03,2.30E-03
,,
,,
