Phonon Scattering and Transmission at Silicon-Helium Interfaces,J. R. Olson,Cornell University 1993
T(K),k(W/m/K),k/T
7.03E-02,7.56E-06,1.08E-04
7.59E-02,8.94E-06,1.18E-04
9.80E-02,2.28E-05,2.33E-04
1.29E-01,3.81E-05,2.95E-04
1.68E-01,6.26E-05,3.73E-04
2.22E-01,1.17E-04,5.27E-04
2.95E-01,1.88E-04,6.37E-04
3.93E-01,3.27E-04,8.32E-04
5.18E-01,5.55E-04,1.07E-03
6.94E-01,9.09E-04,1.31E-03
9.33E-01,1.47E-03,1.58E-03
1.25E+00,2.77E-03,2.22E-03
1.54E+00,3.27E-03,2.12E-03
1.85E+00,4.42E-03,2.39E-03
