| Material Name             | Fit Type             | Low Temp             | High Temp             | a             | b             | c             | d             | e             | f             | g             | h             | i             | A             | erf param             | B             | C             | D             |
| --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
|  1100 Aluminum (UNS A91100) | NIST-1               | 4.000                | 300.000               | 2.33917e+01   | -1.48573e+02  | 4.22192e+02   | -6.53666e+02  | 6.07040e+02   | -3.46152e+02  | 1.18428e+02   | -2.22781e+01  | 1.77019e+00   | ^             | ^                     | ^             | ^             | ^             | 
|  3003F Aluminum (UNS A93003) | NIST-1               | 4.000                | 300.000               | 6.37360e-01   | -1.14370e+00  | 7.46240e+00   | -1.26905e+01  | 1.19165e+01   | -6.18721e+00  | 1.63939e+00   | -1.72667e-01  | 0.00000e+00   | ^             | ^                     | ^             | ^             | ^             | 
|  304 Stainless (UNS S30400) | NIST-1               | 4.000                | 300.000               | -1.40870e+00  | 1.39820e+00   | 2.54300e-01   | -6.26000e-01  | 2.33400e-01   | 4.25600e-01   | -4.65800e-01  | 1.65000e-01   | -1.99000e-02  | ^             | ^                     | ^             | ^             | ^             | 
|  304L Stainless (UNS S30403) | NIST-1               | 4.000                | 300.000               | -1.40870e+00  | 1.39820e+00   | 2.54300e-01   | -6.26000e-01  | 2.33400e-01   | 4.25600e-01   | -4.65800e-01  | 1.65000e-01   | -1.99000e-02  | ^             | ^                     | ^             | ^             | ^             | 
|  310 Stainless (UNS S31000) | NIST-1               | 4.000                | 300.000               | -8.19070e-01  | -2.19670e+00  | 9.10590e+00   | -1.30780e+01  | 1.08530e+01   | -5.12690e+00  | 1.25830e+00   | -1.23950e-01  | 0.00000e+00   | ^             | ^                     | ^             | ^             | ^             | 
|  316 Stainless            | NIST-1               | 4.000                | 300.000               | -1.40870e+00  | 1.39820e+00   | 2.54300e-01   | -6.26000e-01  | 2.33400e-01   | 4.25600e-01   | -4.65800e-01  | 1.65000e-01   | -1.99000e-02  | ^             | ^                     | ^             | ^             | ^             | 
|  5083 Aluminum (UNS A95083) | NIST-1               | 4.000                | 300.000               | -9.09330e-01  | 5.75100e+00   | -1.11120e+01  | 1.36120e+01   | -9.39770e+00  | 3.68730e+00   | -7.72950e-01  | 6.73360e-02   | 0.00000e+00   | ^             | ^                     | ^             | ^             | ^             | 
|  6061-T6 Aluminum (UNS A96061) | NIST-1               | 4.000                | 300.000               | 7.91800e-02   | 1.09570e+00   | -7.27700e-02  | 8.08400e-02   | 2.80300e-02   | -9.46400e-02  | 4.17900e-02   | -5.71000e-03  | 0.00000e+00   | ^             | ^                     | ^             | ^             | ^             | 
|  6063-T5 Aluminum (UNS A96063) | NIST-1               | 4.000                | 296.000               | 2.24014e+01   | -1.41134e+02  | 3.94955e+02   | -6.01154e+02  | 5.47832e+02   | -3.05997e+02  | 1.02387e+02   | -1.88102e+01  | 1.45769e+00   | ^             | ^                     | ^             | ^             | ^             | 
|  Balsa                    | NIST-1               | 88.000               | 300.000               | 4.17245e+03   | -1.13100e+04  | 1.27451e+04   | -7.64758e+03  | 2.57731e+03   | -4.62538e+02  | 3.45351e+01   | 0.00000e+00   | 0.00000e+00   | ^             | ^                     | ^             | ^             | ^             | 
|  Beechwood-Phenolic       | NIST-1               | 92.000               | 300.000               | -1.37511e+03  | 3.74069e+03   | -4.23847e+03  | 2.55933e+03   | -8.68607e+02  | 1.57102e+02   | -1.18296e+01  | 0.00000e+00   | 0.00000e+00   | ^             | ^                     | ^             | ^             | ^             | 
|  Beryllium Copper         | NIST-1               | 2.000                | 80.000                | -5.00150e-01  | 1.93190e+00   | -1.69540e+00  | 7.12180e-01   | 1.27880e+00   | -1.61450e+00  | 6.87220e-01   | -1.05010e-01  | 0.00000e+00   | ^             | ^                     | ^             | ^             | ^             | 
|  Brass (UNS C26000)       | NIST-1               | 5.000                | 116.000               | 2.10350e-02   | -1.01835e+00  | 4.54083e+00   | -5.03374e+00  | 3.20536e+00   | -1.12933e+00  | 1.74057e-01   | -3.81510e-03  | 0.00000e+00   | ^             | ^                     | ^             | ^             | ^             | 
|  G-10 CR (Fiberglass Epoxy) | NIST-1               | 4.000                | 300.000               | -4.12360e+00  | 1.37880e+01   | -2.60680e+01  | 2.62720e+01   | -1.46630e+01  | 4.49540e+00   | -6.90500e-01  | 3.97000e-02   | 0.00000e+00   | ^             | ^                     | ^             | ^             | ^             | 
|  Glass Fabric - Polyester | NIST-1               | 38.000               | 300.000               | 6.89532e+02   | -2.54363e+03  | 3.96707e+03   | -3.40037e+03  | 1.73172e+03   | -5.24309e+02  | 8.74249e+01   | -6.19597e+00  | 0.00000e+00   | ^             | ^                     | ^             | ^             | ^             | 
|  Inconel 718 (UNS N107718) | NIST-1               | 6.000                | 275.000               | -8.28921e+00  | 3.94470e+01   | -8.34353e+01  | 9.81690e+01   | -6.72088e+01  | 2.67082e+01   | -5.72050e+00  | 5.11150e-01   | 0.00000e+00   | ^             | ^                     | ^             | ^             | ^             | 
|  Invar (Fe-36Ni) (UNS K93600) | NIST-1               | 4.000                | 300.000               | -2.70640e+00  | 8.51910e+00   | -1.59230e+01  | 1.82760e+01   | -1.19116e+01  | 4.40318e+00   | -8.60180e-01  | 6.85080e-02   | 0.00000e+00   | ^             | ^                     | ^             | ^             | ^             | 
|  Kevlar 49 (Composite)    | NIST-1               | 6.000                | 302.000               | -2.65000e+00  | 1.98664e+00   | 1.24851e+00   | 5.70000e-01   | -8.00000e+00  | 7.77857e-01   | ^             | ^             | ^             | ^             | ^                     | ^             | ^             | ^             | 
|  Kevlar 49 (Fiber)        | NIST-1               | 0.100                | 291.000               | -2.42190e+00  | 1.98664e+00   | 1.25744e+00   | 9.61209e-01   | -9.61060e+00  | 7.77857e-01   | ^             | ^             | ^             | ^             | ^                     | ^             | ^             | ^             | 
|  Lead                     | NIST-1               | 4.000                | 296.000               | 3.89635e+01   | -2.21405e+02  | 5.97566e+02   | -9.00938e+02  | 8.16405e+02   | -4.55083e+02  | 1.52940e+02   | -2.84512e+01  | 2.25162e+00   | ^             | ^                     | ^             | ^             | ^             | 
|  Molybdenum               | NIST-1               | 2.000                | 373.000               | 1.07826e+01   | -7.21307e+01  | 2.28574e+02   | -3.84504e+02  | 3.81438e+02   | -2.28838e+02  | 8.12666e+01   | -1.56910e+01  | 1.26814e+00   | ^             | ^                     | ^             | ^             | ^             | 
|  Nickel Steel (Fe-2.25 Ni) | NIST-1               | 4.000                | 300.000               | -3.57850e+00  | 2.08040e+01   | -5.58260e+01  | 8.78120e+01   | -8.35016e+01  | 4.90800e+01   | -1.74348e+01  | 3.42770e+00   | -2.86220e-01  | ^             | ^                     | ^             | ^             | ^             | 
|  Nickel Steel (Fe-3.25 Ni) (UNS S20103) | NIST-1               | 4.000                | 300.000               | 8.94810e-01   | -8.19980e+00  | 2.20960e+01   | -2.76450e+01  | 1.97524e+01   | -8.11130e+00  | 1.77866e+00   | -1.61720e-01  | 0.00000e+00   | ^             | ^                     | ^             | ^             | ^             | 
|  Nickel Steel (Fe-5.0 Ni) (UNS S20153) | NIST-1               | 4.000                | 300.000               | -5.72450e-01  | -3.35930e-01  | 3.93790e+00   | -5.45890e+00  | 4.23370e+00   | -1.86530e+00  | 4.32230e-01   | -4.12070e-02  | 0.00000e+00   | ^             | ^                     | ^             | ^             | ^             | 
