Material Name,Fit Type,Low Temp,High Temp,Perc Err,a,b,c,d,e,f,g,h,i,A,B,C,D,E,erf param,F
Aluminum_1100,2.0,4.000,300.000,NIST-1,2.33917e+01,-1.48573e+02,4.22192e+02,-6.53666e+02,6.07040e+02,-3.46152e+02,1.18428e+02,-2.22781e+01,1.77019e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Aluminum_3003F,2.0,4.000,300.000,NIST-1,6.37360e-01,-1.14370e+00,7.46240e+00,-1.26905e+01,1.19165e+01,-6.18721e+00,1.63939e+00,-1.72667e-01,0.00000e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Aluminum_5083O,1.0,4.000,300.000,NIST-1,-9.09330e-01,5.75100e+00,-1.11120e+01,1.36120e+01,-9.39770e+00,3.68730e+00,-7.72950e-01,6.73360e-02,0.00000e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Aluminum_6061T6,0.5,4.000,300.000,NIST-1,7.91800e-02,1.09570e+00,-7.27700e-02,8.08400e-02,2.80300e-02,-9.46400e-02,4.17900e-02,-5.71000e-03,0.00000e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Aluminum_6063T5,2.0,4.000,296.000,NIST-1,2.24014e+01,-1.41134e+02,3.94955e+02,-6.01154e+02,5.47832e+02,-3.05997e+02,1.02387e+02,-1.88102e+01,1.45769e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Balsa,1.5,88.000,300.000,NIST-1,4.17245e+03,-1.13100e+04,1.27451e+04,-7.64758e+03,2.57731e+03,-4.62538e+02,3.45351e+01,0.00000e+00,0.00000e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Beechwood_phenolic,1.0,92.000,300.000,NIST-1,-1.37511e+03,3.74069e+03,-4.23847e+03,2.55933e+03,-8.68607e+02,1.57102e+02,-1.18296e+01,0.00000e+00,0.00000e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Beryllium_Copper,2.0,2.000,80.000,NIST-1,-5.00150e-01,1.93190e+00,-1.69540e+00,7.12180e-01,1.27880e+00,-1.61450e+00,6.87220e-01,-1.05010e-01,0.00000e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Brass,1.5,5.000,116.000,NIST-1,2.10350e-02,-1.01835e+00,4.54083e+00,-5.03374e+00,3.20536e+00,-1.12933e+00,1.74057e-01,-3.81510e-03,0.00000e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Copper_OFHC,2.0,4.000,300.000,4.000,300.000,4.000,300.000,4.000,300.000,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Fiberglass_Epoxy_G10_Normal,5.0,4.000,300.000,NIST-1,-4.12360e+00,1.37880e+01,-2.60680e+01,2.62720e+01,-1.46630e+01,4.49540e+00,-6.90500e-01,3.97000e-02,0.00000e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Fiberglass_Epoxy_G10_Warp,5.0,4.000,300.000,NIST-1,-2.64827e+00,8.80228e+00,-2.48998e+01,4.11625e+01,-3.98754e+01,2.31778e+01,-7.95635e+00,1.48806e+00,-1.17010e-01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Glass_FabricPolyester_Helium_warp,1.0,38.000,300.000,NIST-1,6.89532e+02,-2.54363e+03,3.96707e+03,-3.40037e+03,1.73172e+03,-5.24309e+02,8.74249e+01,-6.19597e+00,0.00000e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Glass_FabricPolyester_Nitrogen_normal,2.0,84.000,300.000,NIST-1,2.90991e+03,-8.61664e+03,1.05427e+04,-6.83207e+03,2.47533e+03,-4.75700e+02,3.79003e+01,0.00000e+00,0.00000e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Glass_FabricPolyester_Nitrogen_warp,1.0,80.000,300.000,NIST-1,-2.14158e+03,4.63974e+03,-3.24941e+03,5.17242e+01,1.10198e+03,-6.13856e+02,1.41143e+02,-1.23133e+01,0.00000e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Inconel_718,2.0,6.000,275.000,NIST-1,-8.28921e+00,3.94470e+01,-8.34353e+01,9.81690e+01,-6.72088e+01,2.67082e+01,-5.72050e+00,5.11150e-01,0.00000e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Invar_Fe36Ni,2.0,4.000,300.000,NIST-1,-2.70640e+00,8.51910e+00,-1.59230e+01,1.82760e+01,-1.19116e+01,4.40318e+00,-8.60180e-01,6.85080e-02,0.00000e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Kapton,2.0,4.000,300.000,NIST-1,5.73101e+00,-3.95199e+01,7.99313e+01,-8.38572e+01,5.09157e+01,-1.79835e+01,3.42413e+00,-2.71330e-01,0.00000e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Kevlar49_Composite_Aramid,7,6.000,302.000,NIST-3,-2.65000e+00,1.98664e+00,1.24851e+00,5.70000e-01,-8.00000e+00,7.77857e-01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Kevlar49_Fiber_Aramid,3,0.100,291.000,NIST-3,-2.42190e+00,1.98664e+00,1.25744e+00,9.61209e-01,-9.61060e+00,7.77857e-01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Lead,2.0,4.000,296.000,NIST-1,3.89635e+01,-2.21405e+02,5.97566e+02,-9.00938e+02,8.16405e+02,-4.55083e+02,1.52940e+02,-2.84512e+01,2.25162e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Molybdenum,3.0,2.000,373.000,NIST-1,1.07826e+01,-7.21307e+01,2.28574e+02,-3.84504e+02,3.81438e+02,-2.28838e+02,8.12666e+01,-1.56910e+01,1.26814e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
MylarPET,1.0,1.000,83.000,NIST-1,-1.37737e+00,-3.40668e+00,2.05842e+01,-5.31244e+01,7.32476e+01,-5.76546e+01,2.61192e+01,-6.34790e+00,6.40331e-01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Nickel_Steel_Fe_2.25_Ni,2.0,4.000,300.000,NIST-1,-3.57850e+00,2.08040e+01,-5.58260e+01,8.78120e+01,-8.35016e+01,4.90800e+01,-1.74348e+01,3.42770e+00,-2.86220e-01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Nickel_Steel_Fe_3.25_Ni,2.0,4.000,300.000,NIST-1,8.94810e-01,-8.19980e+00,2.20960e+01,-2.76450e+01,1.97524e+01,-8.11130e+00,1.77866e+00,-1.61720e-01,0.00000e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Nickel_Steel_Fe_5.0_Ni,2.0,4.000,300.000,NIST-1,-5.72450e-01,-3.35930e-01,3.93790e+00,-5.45890e+00,4.23370e+00,-1.86530e+00,4.32230e-01,-4.12070e-02,0.00000e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Nickel_Steel_Fe_9.0_Ni,2.0,4.000,300.000,NIST-1,-7.12785e-02,-3.48735e+00,1.06547e+01,-1.29153e+01,8.89066e+00,-3.51482e+00,7.43643e-01,-6.57884e-02,0.00000e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Nylon,2.0,4.000,300.000,NIST-1,-2.61350e+00,2.32390e+00,-4.75860e+00,7.16020e+00,-4.91550e+00,1.63240e+00,-2.50700e-01,1.31000e-02,0.00000e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Platinum,3.0,3.000,298.000,NIST-1,-7.33450e+00,8.08550e+01,-2.68441e+02,4.81629e+02,-5.03890e+02,3.14813e+02,-1.15699e+02,2.30957e+01,-1.93362e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Polystyrene_1.99_lbft0.00000e+003_Freon,2.0,90.000,300.000,NIST-1,-1.55750e+03,3.98470e+03,-3.94024e+03,1.64967e+03,1.28010e+01,-2.94262e+02,1.19590e+02,-2.06301e+01,1.36067e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Polystyrene_2.0_lbft0.00000e+003,2.0,33.000,300.000,NIST-1,-1.14545e+03,4.08602e+03,-6.23429e+03,5.26011e+03,-2.64991e+03,7.97037e+02,-1.32524e+02,9.39680e+00,0.00000e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Polystyrene_3.12_lbft0.00000e+003,2.0,7.000,300.000,NIST-1,-1.51940e+00,-4.64490e+00,1.16430e+01,-1.59690e+01,1.27220e+01,-5.82100e+00,1.41740e+00,-1.41280e-01,0.00000e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Polystyrene_6.24_lbft0.00000e+003,3.0,4.000,300.000,NIST-1,7.39582e+00,-5.96737e+01,1.60580e+02,-2.40330e+02,2.18817e+02,-1.24155e+02,4.29088e+01,-8.26683e+00,6.80820e-01,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Polyurethane_1.99_lbft0.00000e+003_Freon,2.0,76.000,300.000,NIST-1,-3.21868e+03,9.20161e+03,-1.09567e+04,6.95010e+03,-2.47694e+03,4.70284e+02,-3.71669e+01,0.00000e+00,0.00000e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Polyurethane_2.0_lbft0.00000e+003_CO2,1.0,100.000,300.000,NIST-1,3.78843e+03,-7.64266e+03,4.59245e+03,7.78842e+02,-2.21443e+03,1.09029e+03,-2.35635e+02,1.96609e+01,0.00000e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Polyurethane_3.06_lbft0.00000e+003_He,1.0,30.000,300.000,NIST-1,-3.38980e+01,1.17810e+02,-1.78376e+02,1.42038e+02,-6.30340e+01,1.49580e+01,-1.54680e+00,2.06250e-02,0.00000e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
Polyurethane_4.00_lbft0.00000e+003_Freon,2.0,88.000,300.000,NIST-1,7.89790e+02,-2.34794e+03,3.02461e+03,-2.20676e+03,9.89238e+02,-2.73180e+02,4.30650e+01,-2.98630e+00,0.00000e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
PVC_1.25_lbft0.00000e+003_air,1.5,100.000,300.000,NIST-1,1.13146e+04,-3.08243e+04,3.49642e+04,-2.11414e+04,7.18743e+03,-1.30271e+03,9.83525e+01,0.00000e+00,0.00000e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
PVC_3.5_lbft0.00000e+003_CO2,2.0,125.000,300.000,NIST-1,-4.12351e+03,9.69059e+03,-7.92009e+03,1.57290e+03,1.45999e+03,-1.02833e+03,2.55773e+02,-2.33193e+01,0.00000e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00,0.00e+00
