Material Name,Fit Type,Low Temp,High Temp,Perc Err,a,b,c,d,e,f,g,h,i
1100_20Aluminum,NIST-1,4.000,300.000,2.0,2.33917e+01,-1.48573e+02,4.22192e+02,-6.53666e+02,6.07040e+02,-3.46152e+02,1.18428e+02,-2.22781e+01,1.77019e+00
3003FAluminum,NIST-1,4.000,300.000,2.0,6.37360e-01,-1.14370e+00,7.46240e+00,-1.26905e+01,1.19165e+01,-6.18721e+00,1.63939e+00,-1.72667e-01,^
5083Aluminum,NIST-1,4.000,300.000,1.0,-9.09330e-01,5.75100e+00,-1.11120e+01,1.36120e+01,-9.39770e+00,3.68730e+00,-7.72950e-01,6.73360e-02,^
6061_T6Aluminum,NIST-1,4.000,300.000,0.5,7.91800e-02,1.09570e+00,-7.27700e-02,8.08400e-02,2.80300e-02,-9.46400e-02,4.17900e-02,-5.71000e-03,^
6063_T5Aluminum,NIST-1,4.000,296.000,2.0,2.24014e+01,-1.41134e+02,3.94955e+02,-6.01154e+02,5.47832e+02,-3.05997e+02,1.02387e+02,-1.88102e+01,1.45769e+00
Balsa,NIST-1,88.000,300.000,1.5,4.17245e+03,-1.13100e+04,1.27451e+04,-7.64758e+03,2.57731e+03,-4.62538e+02,3.45351e+01,^,^
beechwood,NIST-1,92.000,300.000,1.0,-1.37511e+03,3.74069e+03,-4.23847e+03,2.55933e+03,-8.68607e+02,1.57102e+02,-1.18296e+01,^,^
BerylliumCopper,NIST-1,2.000,80.000,2.0,-5.00150e-01,1.93190e+00,-1.69540e+00,7.12180e-01,1.27880e+00,-1.61450e+00,6.87220e-01,-1.05010e-01,^
Brass,NIST-1,5.000,116.000,1.5,2.10350e-02,-1.01835e+00,4.54083e+00,-5.03374e+00,3.20536e+00,-1.12933e+00,1.74057e-01,-3.81510e-03,^
G10CRFiberglassEpoxy,NIST-1,4.000,300.000,5.0,-4.12360e+00,1.37880e+01,-2.60680e+01,2.62720e+01,-1.46630e+01,4.49540e+00,-6.90500e-01,3.97000e-02,^
GlassFabric_Polyester,NIST-1,38.000,300.000,1.0,6.89532e+02,-2.54363e+03,3.96707e+03,-3.40037e+03,1.73172e+03,-5.24309e+02,8.74249e+01,-6.19597e+00,^
Inconel718,NIST-1,6.000,275.000,2.0,-8.28921e+00,3.94470e+01,-8.34353e+01,9.81690e+01,-6.72088e+01,2.67082e+01,-5.72050e+00,5.11150e-01,^
Invar,NIST-1,4.000,300.000,2.0,-2.70640e+00,8.51910e+00,-1.59230e+01,1.82760e+01,-1.19116e+01,4.40318e+00,-8.60180e-01,6.85080e-02,^
kevlarcomposite,NIST-1,6.000,302.000,??,-2.65000e+00,1.98664e+00,1.24851e+00,5.70000e-01,-8.00000e+00,7.77857e-01,^,^,^
kevlarfiber,NIST-1,0.100,291.000,??,-2.42190e+00,1.98664e+00,1.25744e+00,9.61209e-01,-9.61060e+00,7.77857e-01,^,^,^
Lead,NIST-1,4.000,296.000,2.0,3.89635e+01,-2.21405e+02,5.97566e+02,-9.00938e+02,8.16405e+02,-4.55083e+02,1.52940e+02,-2.84512e+01,2.25162e+00
Molybdenum,NIST-1,2.000,373.000,3.0,1.07826e+01,-7.21307e+01,2.28574e+02,-3.84504e+02,3.81438e+02,-2.28838e+02,8.12666e+01,-1.56910e+01,1.26814e+00
NickelSteel_Fe2.25Ni,NIST-1,4.000,300.000,2.0,-3.57850e+00,2.08040e+01,-5.58260e+01,8.78120e+01,-8.35016e+01,4.90800e+01,-1.74348e+01,3.42770e+00,-2.86220e-01
NickelSteel_Fe3.25Ni,NIST-1,4.000,300.000,2.0,8.94810e-01,-8.19980e+00,2.20960e+01,-2.76450e+01,1.97524e+01,-8.11130e+00,1.77866e+00,-1.61720e-01,^
NickelSteel_Fe5.0Ni,NIST-1,4.000,300.000,2.0,-5.72450e-01,-3.35930e-01,3.93790e+00,-5.45890e+00,4.23370e+00,-1.86530e+00,4.32230e-01,-4.12070e-02,^
NickelSteel_Fe9.0Ni,NIST-1,4.000,300.000,2.0,-7.12785e-02,-3.48735e+00,1.06547e+01,-1.29153e+01,8.89066e+00,-3.51482e+00,7.43643e-01,-6.57884e-02,^
PET,NIST-1,1.000,83.000,1.0,-1.37737e+00,-3.40668e+00,2.05842e+01,-5.31244e+01,7.32476e+01,-5.76546e+01,2.61192e+01,-6.34790e+00,6.40331e-01
Platinum,NIST-1,3.000,298.000,3.0,-7.33450e+00,8.08550e+01,-2.68441e+02,4.81629e+02,-5.03890e+02,3.14813e+02,-1.15699e+02,2.30957e+01,-1.93362e+00
PlyamideNylon,NIST-1,4.000,300.000,2.0,-2.61350e+00,2.32390e+00,-4.75860e+00,7.16020e+00,-4.91550e+00,1.63240e+00,-2.50700e-01,1.31000e-02,^
PolyimideKapton,NIST-1,4.000,300.000,2.0,5.73101e+00,-3.95199e+01,7.99313e+01,-8.38572e+01,5.09157e+01,-1.79835e+01,3.42413e+00,-2.71330e-01,^
polystyrene,NIST-1,90.000,300.000,2.0,-1.55750e+03,3.98470e+03,-3.94024e+03,1.64967e+03,1.28010e+01,-2.94262e+02,1.19590e+02,-2.06301e+01,1.36067e+00
polyurethane,NIST-1,76.000,300.000,2.0,-3.21868e+03,9.20161e+03,-1.09567e+04,6.95010e+03,-2.47694e+03,4.70284e+02,-3.71669e+01,^,^
PVC,NIST-1,100.000,300.000,1.5,1.13146e+04,-3.08243e+04,3.49642e+04,-2.11414e+04,7.18743e+03,-1.30271e+03,9.83525e+01,^,^
SS304,NIST-1,4.000,300.000,2.0,-1.40870e+00,1.39820e+00,2.54300e-01,-6.26000e-01,2.33400e-01,4.25600e-01,-4.65800e-01,1.65000e-01,-1.99000e-02
SS304L,NIST-1,4.000,300.000,2.0,-1.40870e+00,1.39820e+00,2.54300e-01,-6.26000e-01,2.33400e-01,4.25600e-01,-4.65800e-01,1.65000e-01,-1.99000e-02
SS310,NIST-1,4.000,300.000,2.0,-8.19070e-01,-2.19670e+00,9.10590e+00,-1.30780e+01,1.08530e+01,-5.12690e+00,1.25830e+00,-1.23950e-01,^
SS316,NIST-1,4.000,300.000,2.0,-1.40870e+00,1.39820e+00,2.54300e-01,-6.26000e-01,2.33400e-01,4.25600e-01,-4.65800e-01,1.65000e-01,-1.99000e-02
Teflon,NIST-1,4.000,300.000,5.0,2.73800e+00,-3.06770e+01,8.94300e+01,-1.36990e+02,1.24690e+02,-6.95560e+01,2.33200e+01,-4.31350e+00,3.38290e-01
Ti6Al4V,NIST-1,23.000,300.000,2.0,-5.10788e+03,1.92404e+04,-3.07891e+04,2.71348e+04,-1.42264e+04,4.43822e+03,-7.63078e+02,5.57966e+01,^
Titanium,NIST-1,1.400,300.000,3.0,-2.39879e+00,8.97074e+00,-2.91929e+01,5.48714e+01,-5.96714e+01,3.88932e+01,-1.49418e+01,3.11162e+00,-2.70453e-01
